end_of_quarter,end_of_quarter_release,ticker,industry,increase
2023-03-31,2023-05-12,SSB,Banks - Regional,0.14679845403249583
2023-06-30,2023-08-11,SSB,Banks - Regional,0.10624318797985019
2023-09-30,2023-11-10,SSB,Banks - Regional,0.17117774136033972
2023-12-31,2024-03-11,SSB,Banks - Regional,-0.04061338612760932
2020-03-31,2020-05-18,ABG,Auto & Truck Dealerships,0.7821837593843929
2020-06-30,2020-08-07,ABG,Auto & Truck Dealerships,0.5132181434455643
2020-09-30,2020-11-10,ABG,Auto & Truck Dealerships,0.6434974349025423
2020-12-31,2021-03-08,ABG,Auto & Truck Dealerships,-0.036932100336835694
2021-03-31,2021-05-04,ABG,Auto & Truck Dealerships,-0.11307986445874861
2021-06-30,2021-08-04,ABG,Auto & Truck Dealerships,-0.1510274153542379
2021-09-30,2021-11-02,ABG,Auto & Truck Dealerships,-0.006328419180251127
2021-12-31,2022-03-08,ABG,Auto & Truck Dealerships,-0.0920110874344284
2022-03-31,2022-05-11,ABG,Auto & Truck Dealerships,-0.020776448242081757
2022-06-30,2022-08-04,ABG,Auto & Truck Dealerships,0.37447004195671
2022-09-30,2022-11-04,ABG,Auto & Truck Dealerships,0.2465557657754138
2022-12-31,2023-03-08,ABG,Auto & Truck Dealerships,-0.06604175629119491
2023-03-31,2023-05-05,ABG,Auto & Truck Dealerships,0.06647038076231807
2023-06-30,2023-08-04,ABG,Auto & Truck Dealerships,-0.03685132399958213
2023-09-30,2023-11-03,ABG,Auto & Truck Dealerships,0.059708565998620594
2023-12-31,2024-03-07,ABG,Auto & Truck Dealerships,0.059053076481278846
2020-03-31,2020-05-11,PR,Oil & Gas E&P,-0.20302381663111282
2020-06-30,2020-08-10,PR,Oil & Gas E&P,2.5396307648094654
2020-09-30,2020-11-10,PR,Oil & Gas E&P,5.436314551572151
2020-12-31,2021-03-03,PR,Oil & Gas E&P,0.1400863098864169
2021-03-31,2021-05-12,PR,Oil & Gas E&P,0.6914155304473408
2021-06-30,2021-08-11,PR,Oil & Gas E&P,0.5674604597996816
2021-09-30,2021-11-11,PR,Oil & Gas E&P,-0.03840877144392234
2021-12-31,2022-03-03,PR,Oil & Gas E&P,-0.05244336376947893
2022-03-31,2022-11-16,PR,Oil & Gas E&P,-0.1279116339394554
2022-06-30,2022-11-16,PR,Oil & Gas E&P,-0.1279116339394554
2022-09-30,2022-11-16,PR,Oil & Gas E&P,-0.1279116339394554
2022-12-31,2023-03-03,PR,Oil & Gas E&P,0.24486513728874287
2023-03-31,2023-05-16,PR,Oil & Gas E&P,0.4849245294940066
2023-06-30,2023-08-10,PR,Oil & Gas E&P,0.12384522828623161
2023-09-30,2023-11-15,PR,Oil & Gas E&P,0.35144736373164476
2023-12-31,2024-03-07,PR,Oil & Gas E&P,0.12428534734779738
2020-03-31,2020-05-13,HCA,Medical Care Facilities,0.442251689889913
2020-06-30,2020-08-06,HCA,Medical Care Facilities,0.33900346691661176
2020-09-30,2020-11-05,HCA,Medical Care Facilities,0.5061965951415104
2020-12-31,2021-02-26,HCA,Medical Care Facilities,0.47246021203914645
2021-03-31,2021-05-07,HCA,Medical Care Facilities,0.18427958035706768
2021-06-30,2021-08-09,HCA,Medical Care Facilities,-0.033116106484562244
