end_of_quarter,ticker,industry,sector,fte,auditrisk,compensationrisk,boardrisk,shareholderrightsrisk,maxage,dividends,weekly_price_0,weekly_price_1,weekly_price_2,weekly_price_3,weekly_price_4,weekly_price_5,weekly_price_6,weekly_price_7,weekly_price_8,weekly_price_9,increase
2023-06-02,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,338.77000427246094,341.0659912109375,340.5279968261719,368.5539978027344,378.59599609375,381.9624938964844,375.08599853515625,378.702001953125,371.79400024414065,354.45799560546874,0.29067082584678117
2023-09-01,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,431.55999755859375,435.6840026855469,483.847998046875,481.40999603271484,484.793994140625,484.7574996948242,508.11200561523435,523.7019897460938,521.3179931640625,535.2419921875,0.08487062716950274
2023-12-01,ADBE,Software - Infrastructure,technology,29945.0,5.0,5.0,6.0,1.0,86400,,563.2100219726562,561.9100036621094,548.2640014648438,527.3340087890625,507.0140014648438,517.9399963378906,544.0619873046875,553.0800048828125,524.702001953125,545.1739990234375,-0.08521224533887782
2022-03-26,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,139.80799865722656,135.28000183105468,125.2249984741211,109.24199829101562,119.49400024414062,124.73999938964843,115.9260009765625,115.77000045776367,115.16800079345703,106.05599975585938,-0.27578174169867103
2022-06-25,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,119.66999816894531,116.04400024414062,105.1479995727539,95.8174991607666,92.56599884033203,87.18400115966797,93.91999816894531,89.03800048828126,96.63199920654297,95.97800140380859,-0.2112349559432591
2022-09-24,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,87.08000183105469,79.01399993896484,77.29999923706055,78.10799865722656,87.18599853515624,89.75,100.0759994506836,98.72200164794921,99.1739990234375,93.28399963378907,-0.026847757568002298
2022-12-31,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,63.36000061035156,65.64800033569335,57.63399963378906,57.939999389648435,60.10199966430664,60.130000305175784,65.53800048828126,74.01399993896484,74.8125,75.33400115966796,0.5288972568857315
2023-04-01,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,63.74250030517578,69.23000030517578,69.9749984741211,75.34000091552734,81.32799835205078,83.79400177001953,82.56799926757813,77.80499839782715,79.51999969482422,83.06800079345703,0.17968109509310454
2023-07-01,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,94.36499977111816,93.13600006103516,89.6260009765625,86.82400207519531,87.53400115966797,95.89599914550782,103.2760009765625,114.35399932861328,120.20249938964844,121.19200134277344,-0.11224313619628637
2023-09-30,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,113.91000366210938,114.10499954223633,114.26800079345703,114.7759994506836,111.55199890136718,114.06399993896484,111.66200103759766,108.08200073242188,105.47200164794921,106.05799865722656,0.4274233412789265
2023-12-30,AMD,Semiconductors,technology,26000.0,8.0,7.0,4.0,3.0,86400,,103.51399993896484,107.63399963378906,103.59599914550782,97.56799926757813,104.56000061035157,114.17399749755859,119.02400054931641,121.37750053405762,122.21200103759766,122.21199798583984,0.28936347463476847
2022-03-31,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.158,22.092508697509764,21.63761100769043,21.439990043640137,20.768824768066406,20.71524124145508,20.8748477935791,20.21200523376465,19.62004852294922,20.01484375,20.64388656616211,-0.20273575854782425
2022-06-30,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.158,24.22286033630371,23.967488098144532,23.007023334503174,22.331976318359374,19.959037017822265,19.961521530151366,18.8566463470459,19.344759368896483,20.476119995117188,20.889030933380127,0.09055151661839712
2022-09-30,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.158,20.096792221069336,20.132266521453857,19.704221725463867,19.017459106445312,19.89316635131836,21.79038848876953,23.12799491882324,24.170258712768554,24.246474838256837,24.45988311767578,0.2824364842442054
2022-12-31,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.158,21.53125,23.73582344055176,23.133708953857422,22.935545349121092,24.288394927978516,25.107118225097658,26.0348819732666,26.52943229675293,27.133246421813965,27.336434173583985,-0.1562127857591753
2023-03-31,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.166,25.80342149734497,26.406753921508788,25.89926242828369,25.973542404174804,25.704335403442382,25.16923713684082,25.4489387512207,24.514833450317383,23.905760955810546,23.491030502319337,-0.14556044092137463
2023-06-30,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.166,22.97888946533203,23.181429862976074,24.29734230041504,23.363719177246093,22.85597801208496,22.021932983398436,21.516843032836913,20.487235641479494,19.815077209472655,19.35612440109253,-0.26111076010189016
2023-09-30,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.166,20.1356143951416,20.570284366607666,20.871881103515626,21.28178176879883,21.07197494506836,20.3534797668457,19.18477554321289,17.9103572845459,17.612796783447266,17.651950073242187,0.3747278746683905
2023-12-31,AES,Utilities - Diversified,utilities,9600.0,5.0,6.0,2.0,4.0,86400,0.166,12.91252784729004,12.779409027099609,13.5076473236084,14.26329231262207,15.208164024353028,15.842826843261719,16.51193561553955,16.774728775024414,17.15134963989258,17.86599006652832,-0.1767156442459573
2022-03-31,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.4,57.13720474243164,59.991414642333986,58.95326328277588,58.632449340820315,60.15797576904297,62.1207160949707,60.80737380981445,58.54902744293213,57.32200241088867,56.8649040222168,-0.1325107343530528
2022-06-30,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.4,61.81298700968424,61.54444808959961,61.993924140930176,62.18438186645508,57.23820190429687,55.45361328125,54.122317504882815,53.71812896728515,55.80900115966797,57.28076171875,0.02920930938686997
2022-09-30,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.4,53.50425148010254,53.7248420715332,52.58445816040039,52.5882926940918,53.98284683227539,56.21566543579102,59.15439453125,61.41982727050781,59.47543106079102,57.782257080078125,0.2900727562248442
2022-12-31,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.4,54.2511100769043,56.83238067626953,56.44239044189453,57.934777069091794,60.483228302001955,64.05105743408203,66.335009765625,68.13912811279297,69.87620162963867,69.53150329589843,-0.09650009358038555
2023-03-31,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.42,70.11408424377441,69.9121322631836,69.43683433532715,70.5510269165039,69.54315643310547,67.87113647460937,67.89793395996094,66.67797470092773,66.51681060791016,64.5183723449707,0.07814744300096312
2023-06-30,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.42,62.9077091217041,62.90038585662842,64.3034896850586,65.02433166503906,65.74712600708008,66.56955108642578,65.35642547607422,65.03717651367188,64.14657592773438,64.07678604125977,0.10580837749405501
2023-09-30,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.42,68.61332702636719,68.75586318969727,68.78043365478516,70.27262878417969,71.20450897216797,73.6443115234375,75.26626129150391,74.44447479248046,72.9865509033203,73.79916381835938,0.08444779777023347
2023-12-31,AFL,Insurance - Life,financial-services,12785.0,2.0,1.0,6.0,9.0,86400,0.42,75.52916717529297,78.47710266113282,79.08013458251953,76.55333557128907,78.79345092773437,80.09046173095703,80.71436767578125,81.59280395507812,81.90084838867188,81.80545806884766,0.02736454219262242
2022-01-31,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.21,148.05111083984374,144.22821960449218,137.56133270263672,133.2191589355469,155.07247009277344,157.5408721923828,159.01246643066406,153.31523513793945,148.31142883300782,152.1726287841797,-0.14256941751604932
2022-04-30,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.21,139.56104736328126,138.96531982421874,131.88174438476562,127.81672286987305,131.475390625,129.70992126464844,131.9271209716797,134.87220764160156,133.26848449707032,132.68348388671876,0.12350539759832728
2022-07-31,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.21,120.81352996826172,114.44192504882812,120.85304412841796,123.51430053710938,125.51567840576172,124.08922729492187,113.88478088378906,115.47175788879395,117.30097961425781,120.58220100402832,0.04182119017034064
2022-10-31,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.21,131.9427520751953,130.52367401123047,135.88134155273437,131.8398406982422,126.98092803955078,131.9996566772461,132.548388671875,125.32434997558593,121.1126220703125,128.87996673583984,0.09841927607145316
2023-01-31,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.225,149.2877960205078,153.73895263671875,153.4500503540039,155.35719299316406,150.6454315185547,135.81912841796876,140.4465576171875,145.1532775878906,152.24262237548828,152.66343688964844,-0.10803136307367259
2023-04-30,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.225,152.75411071777344,152.11475830078126,150.09541931152344,141.44725799560547,140.43163146972657,138.81339416503906,134.84423828125,132.7097381591797,133.50596618652344,137.27496719360352,-0.0719377887272232
2023-07-31,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.225,133.75726318359375,127.88232421875,127.29562530517578,123.03360900878906,116.31541633605957,115.91964416503906,119.28868408203125,117.98353004455566,117.40123901367187,118.12414932250977,-0.16749625682956845
2023-10-31,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.225,124.2010986328125,126.92897338867188,122.29815979003907,118.52017822265626,121.07071228027344,116.29842758178711,113.59844360351562,111.30894012451172,110.98613891601562,110.5769760131836,0.30121995830855397
2024-01-31,A,Diagnostics & Research,healthcare,17700.0,8.0,2.0,3.0,9.0,86400,0.236,132.86750030517578,131.0739959716797,130.08250045776367,130.96800231933594,133.55500030517578,104.75282859802246,108.55040435791015,111.81288604736328,121.92128944396973,126.56593475341796,0.14327439289139848
2022-03-31,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,1.62,284.373779296875,281.1646301269531,271.4619903564453,264.82391357421875,265.38128356933595,240.3204833984375,231.9351837158203,225.49069213867188,220.75159301757813,211.96300048828124,-0.027129787396619864
2022-06-30,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,1.62,239.45846048990884,240.65823364257812,237.9706916809082,237.09143981933593,228.0586151123047,228.556396484375,222.45284118652344,225.68266906738282,230.57432556152344,238.07120513916016,-0.036260770991330536
2022-09-30,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,1.62,232.8427734375,227.72557067871094,219.95144958496093,222.48595581054687,231.32303161621093,242.35924682617187,254.77160034179687,259.60936584472654,253.21428527832032,243.9165802001953,0.338074165193489
2022-12-31,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,1.62,225.85911560058594,232.803857421875,225.82806701660155,233.06781921386718,242.8133514404297,249.95022888183593,275.3844970703125,286.160693359375,296.87620544433594,300.31993408203124,-0.08758195077800306
2023-03-31,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,,298.80184173583984,304.12249145507815,295.9727325439453,305.322412109375,299.1159606933594,279.01763916015625,275.70856323242185,272.3009567260742,282.225244140625,280.9394775390625,0.026252590644973726
2023-06-30,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,1.75,277.4168243408203,279.8244400024414,280.819384765625,284.2023193359375,285.6061279296875,288.71025390625,277.03790283203125,272.01556396484375,267.6666687011719,269.3326110839844,-0.04804386150977749
2023-09-30,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,1.75,295.802978515625,286.3224411010742,290.4405578613281,296.30860595703126,299.6801330566406,290.995556640625,282.70599975585935,282.66058349609375,282.6309509277344,290.84544067382814,-0.012618341314923676
2023-12-31,APD,Specialty Chemicals,basic-materials,23000.0,3.0,10.0,5.0,3.0,86400,1.75,279.5386657714844,285.0333740234375,282.30291137695315,274.27845458984376,284.04969482421876,265.3239471435547,268.4061645507812,272.564453125,268.22532348632814,262.0628967285156,-0.13888176237980643
2022-03-31,ABNB,Travel Services,consumer-cyclical,6907.0,9.0,9.0,10.0,10.0,86400,,166.30599975585938,165.77000122070314,156.0,143.15599975585937,153.56000061035155,165.63599853515626,178.9740020751953,157.15749740600586,150.88399963378907,143.79400024414062,-0.45313225833016996
